ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost,PackSizeMLorG
P0001,QuickBite Rice 5kg v1,Grocery,Staples,QuickBite,7.44,4.87,1073
P0002,GoodMart Rice 5kg v2,Grocery,Staples,GoodMart,10.57,5.9,430
P0003,GoodMart Rice 5kg v3,Grocery,Oils,GoodMart,7.23,4.86,201
P0004,MaxValue Rice 5kg v4,Grocery,Staples,MaxValue,11.84,8.36,1385
P0005,QuickBite Rice 5kg v5,Grocery,Pulses,QuickBite,10.45,6.19,1660
P0006,GoodMart Rice 5kg v6,Grocery,Staples,GoodMart,5.43,3.94,628
P0007,MaxValue Wheat Flour 5kg v1,Grocery,Pulses,MaxValue,2.45,1.35,343
P0008,FreshCo Wheat Flour 5kg v2,Grocery,Pulses,FreshCo,8.37,6.69,1268
P0009,DailyLife Wheat Flour 5kg v3,Grocery,Pulses,DailyLife,8.97,5.89,1651
P0010,QuickBite Wheat Flour 5kg v4,Grocery,Oils,QuickBite,2.12,1.32,1384
P0011,FreshCo Wheat Flour 5kg v5,Grocery,Staples,FreshCo,4.42,2.44,249
P0012,QuickBite Wheat Flour 5kg v6,Grocery,Pulses,QuickBite,4.43,2.56,847
P0013,UrbanHome Sugar 1kg v1,Grocery,Pulses,UrbanHome,3.88,3.02,1862
P0014,MaxValue Sugar 1kg v2,Grocery,Oils,MaxValue,4.77,2.77,1291
P0015,DailyLife Sugar 1kg v3,Grocery,Pulses,DailyLife,8.73,4.96,1292
P0016,MaxValue Sugar 1kg v4,Grocery,Oils,MaxValue,3.81,2.59,278
P0017,UrbanHome Sugar 1kg v5,Grocery,Staples,UrbanHome,9.37,5.53,580
P0018,PrimeChoice Sugar 1kg v6,Grocery,Oils,PrimeChoice,5.78,3.48,1943
P0019,MaxValue Cooking Oil 1L v1,Grocery,Staples,MaxValue,6.76,5.05,244
P0020,UrbanHome Cooking Oil 1L v2,Grocery,Oils,UrbanHome,4.76,3.22,321
P0021,MaxValue Cooking Oil 1L v3,Grocery,Pulses,MaxValue,2.02,1.2,1869
P0022,MaxValue Cooking Oil 1L v4,Grocery,Oils,MaxValue,7.12,4.35,1292
P0023,MaxValue Cooking Oil 1L v5,Grocery,Pulses,MaxValue,4.88,3.5,1312
P0024,QuickBite Cooking Oil 1L v6,Grocery,Staples,QuickBite,11.73,9.25,805
P0025,DailyLife Pulses 1kg v1,Grocery,Staples,DailyLife,8.09,4.75,1414
P0026,GoodMart Pulses 1kg v2,Grocery,Oils,GoodMart,8.37,6.2,875
P0027,UrbanHome Pulses 1kg v3,Grocery,Staples,UrbanHome,4.46,3.12,1096
P0028,UrbanHome Pulses 1kg v4,Grocery,Oils,UrbanHome,5.9,4.22,1363
P0029,UrbanHome Pulses 1kg v5,Grocery,Staples,UrbanHome,8.85,6.67,1021
P0030,QuickBite Pulses 1kg v6,Grocery,Pulses,QuickBite,9.85,5.78,634
P0031,PrimeChoice Cola 1.25L v1,Beverages,Water,PrimeChoice,4.37,2.75,919
P0032,GoodMart Cola 1.25L v2,Beverages,Water,GoodMart,2.81,2.14,303
P0033,FreshCo Cola 1.25L v3,Beverages,Carbonated,FreshCo,1.85,1.06,1450
P0034,PrimeChoice Cola 1.25L v4,Beverages,Carbonated,PrimeChoice,3.17,2.34,329
P0035,QuickBite Cola 1.25L v5,Beverages,Juices,QuickBite,3.04,2.09,923
P0036,PrimeChoice Cola 1.25L v6,Beverages,Water,PrimeChoice,3.3,1.84,1986
P0037,MaxValue Orange Juice 1L v1,Beverages,Carbonated,MaxValue,5.08,3.59,1384
P0038,MaxValue Orange Juice 1L v2,Beverages,Water,MaxValue,7.9,4.57,1931
P0039,DailyLife Orange Juice 1L v3,Beverages,Carbonated,DailyLife,2.19,1.4,1838
P0040,DailyLife Orange Juice 1L v4,Beverages,Juices,DailyLife,3.29,2.54,1578
P0041,UrbanHome Orange Juice 1L v5,Beverages,Water,UrbanHome,2.26,1.59,365
P0042,GoodMart Orange Juice 1L v6,Beverages,Water,GoodMart,3.84,2.27,378
P0043,UrbanHome Mineral Water 1L v1,Beverages,Juices,UrbanHome,2.42,1.89,1952
P0044,PrimeChoice Mineral Water 1L v2,Beverages,Water,PrimeChoice,7.73,5.28,1159
P0045,GoodMart Mineral Water 1L v3,Beverages,Water,GoodMart,5.82,3.59,335
P0046,GoodMart Mineral Water 1L v4,Beverages,Water,GoodMart,1.74,1.02,1296
P0047,QuickBite Mineral Water 1L v5,Beverages,Carbonated,QuickBite,1.33,1.05,1756
P0048,UrbanHome Mineral Water 1L v6,Beverages,Juices,UrbanHome,7.74,6.12,1592
P0049,GoodMart Energy Drink 500ml v1,Beverages,Water,GoodMart,7.57,5.05,284
P0050,UrbanHome Energy Drink 500ml v2,Beverages,Juices,UrbanHome,1.33,0.86,1899
P0051,MaxValue Energy Drink 500ml v3,Beverages,Carbonated,MaxValue,6.76,4.75,1397
P0052,FreshCo Energy Drink 500ml v4,Beverages,Carbonated,FreshCo,6.25,3.61,1600
P0053,PrimeChoice Energy Drink 500ml v5,Beverages,Juices,PrimeChoice,1.95,1.3,293
P0054,DailyLife Energy Drink 500ml v6,Beverages,Water,DailyLife,2.18,1.42,290
P0055,DailyLife Iced Tea 1L v1,Beverages,Carbonated,DailyLife,6.43,3.85,1996
P0056,MaxValue Iced Tea 1L v2,Beverages,Water,MaxValue,3.6,2.46,996
P0057,UrbanHome Iced Tea 1L v3,Beverages,Carbonated,UrbanHome,7.25,4.94,1117
P0058,PrimeChoice Iced Tea 1L v4,Beverages,Energy,PrimeChoice,6.24,4.09,1570
P0059,QuickBite Iced Tea 1L v5,Beverages,Carbonated,QuickBite,5.72,3.38,1209
P0060,DailyLife Iced Tea 1L v6,Beverages,Water,DailyLife,4.91,2.75,1600
P0061,QuickBite Shampoo 500ml v1,Personal Care,Oral,QuickBite,1.77,1.34,232
P0062,MaxValue Shampoo 500ml v2,Personal Care,Bath & Body,MaxValue,4.82,2.99,1774
P0063,FreshCo Shampoo 500ml v3,Personal Care,Hair,FreshCo,4.59,3.43,1998
P0064,DailyLife Shampoo 500ml v4,Personal Care,Bath & Body,DailyLife,6.83,4.16,1104
P0065,QuickBite Shampoo 500ml v5,Personal Care,Hair,QuickBite,3.35,2.51,1564
P0066,UrbanHome Shampoo 500ml v6,Personal Care,Hair,UrbanHome,7.75,4.76,1065
P0067,FreshCo Soap 100g v1,Personal Care,Oral,FreshCo,3.91,3.1,754
P0068,MaxValue Soap 100g v2,Personal Care,Fragrance,MaxValue,6.08,3.45,886
P0069,PrimeChoice Soap 100g v3,Personal Care,Oral,PrimeChoice,2.93,1.94,828
P0070,DailyLife Soap 100g v4,Personal Care,Oral,DailyLife,1.04,0.7,742
P0071,GoodMart Soap 100g v5,Personal Care,Hair,GoodMart,4.3,3.41,961
P0072,FreshCo Soap 100g v6,Personal Care,Fragrance,FreshCo,6.88,4.4,1018
P0073,GoodMart Toothpaste 120g v1,Personal Care,Fragrance,GoodMart,4.37,3.26,1740
P0074,DailyLife Toothpaste 120g v2,Personal Care,Oral,DailyLife,5.99,3.71,1794
P0075,PrimeChoice Toothpaste 120g v3,Personal Care,Bath & Body,PrimeChoice,6.38,3.51,1286
P0076,FreshCo Toothpaste 120g v4,Personal Care,Bath & Body,FreshCo,6.65,4.46,1981
P0077,UrbanHome Toothpaste 120g v5,Personal Care,Hair,UrbanHome,1.61,1.14,680
P0078,MaxValue Toothpaste 120g v6,Personal Care,Fragrance,MaxValue,4.53,2.53,590
P0079,FreshCo Face Wash 150ml v1,Personal Care,Fragrance,FreshCo,6.62,5.21,1443
P0080,FreshCo Face Wash 150ml v2,Personal Care,Bath & Body,FreshCo,6.18,4.79,1022
P0081,PrimeChoice Face Wash 150ml v3,Personal Care,Bath & Body,PrimeChoice,5.6,3.23,1885
P0082,UrbanHome Face Wash 150ml v4,Personal Care,Hair,UrbanHome,6.85,5.46,1012
P0083,DailyLife Face Wash 150ml v5,Personal Care,Bath & Body,DailyLife,7.73,4.35,985
P0084,GoodMart Face Wash 150ml v6,Personal Care,Hair,GoodMart,7.16,4.76,269
P0085,MaxValue Deodorant 150ml v1,Personal Care,Hair,MaxValue,5.24,3.34,1149
P0086,FreshCo Deodorant 150ml v2,Personal Care,Hair,FreshCo,6.41,3.9,276
P0087,UrbanHome Deodorant 150ml v3,Personal Care,Hair,UrbanHome,3.6,2.18,529
P0088,MaxValue Deodorant 150ml v4,Personal Care,Bath & Body,MaxValue,5.02,3.94,1276
P0089,GoodMart Deodorant 150ml v5,Personal Care,Hair,GoodMart,4.42,3.48,523
P0090,PrimeChoice Deodorant 150ml v6,Personal Care,Fragrance,PrimeChoice,7.59,4.96,1557
P0091,FreshCo Detergent 2kg v1,Household,Laundry,FreshCo,7.03,5.09,1253
P0092,QuickBite Detergent 2kg v2,Household,Cleaning,QuickBite,7.4,4.38,1331
P0093,GoodMart Detergent 2kg v3,Household,Cleaning,GoodMart,7.9,5.89,867
P0094,UrbanHome Detergent 2kg v4,Household,Laundry,UrbanHome,3.28,2.05,993
P0095,QuickBite Detergent 2kg v5,Household,Cleaning,QuickBite,3.74,2.2,1887
P0096,GoodMart Detergent 2kg v6,Household,Paper,GoodMart,5.91,4.64,1935
P0097,UrbanHome Dishwash Liquid 750ml v1,Household,Cleaning,UrbanHome,1.68,0.97,945
