StoreID,StoreName,Region,City,Format,OpenDate,AreaSQFT
S001,Indore Supermarket #1,Central,Indore,Supermarket,08-12-2022,1606
S002,Kochi Supermarket #2,South,Kochi,Supermarket,05-04-2020,4395
S003,Surat Supermarket #3,West,Surat,Supermarket,27-04-2021,1549
S004,Mumbai Hypermarket #4,West,Mumbai,Hypermarket,27-12-2023,2962
S005,Indore Supermarket #5,Central,Indore,Supermarket,31-07-2023,1682
S006,Bengaluru Supermarket #6,South,Bengaluru,Supermarket,20-07-2020,3211
S007,Jaipur Hypermarket #7,North,Jaipur,Hypermarket,09-11-2020,5541
S008,Bengaluru Convenience #8,South,Bengaluru,Convenience,09-01-2020,4147
S009,Kolkata Supermarket #9,East,Kolkata,Supermarket,11-12-2020,4832
S010,Bhubaneswar Supermarket #10,East,Bhubaneswar,Supermarket,13-08-2023,1733
S011,Chandigarh Supermarket #11,North,Chandigarh,Supermarket,14-02-2019,5460
S012,Nagpur Convenience #12,Central,Nagpur,Convenience,14-09-2021,5681
S013,Delhi Convenience #13,North,Delhi,Convenience,09-10-2020,3194
S014,Bhopal Supermarket #14,Central,Bhopal,Supermarket,12-10-2023,5447
S015,Delhi Supermarket #15,North,Delhi,Supermarket,10-05-2020,4024
S016,Surat Convenience #16,West,Surat,Convenience,17-07-2019,3348
S017,Guwahati Supermarket #17,East,Guwahati,Supermarket,11-04-2019,3343
S018,Ahmedabad Convenience #18,West,Ahmedabad,Convenience,19-04-2022,2707
S019,Nagpur Convenience #19,Central,Nagpur,Convenience,28-09-2021,2600
S020,Indore Convenience #20,Central,Indore,Convenience,19-06-2019,5449
S021,Delhi Supermarket #21,North,Delhi,Supermarket,30-01-2019,3222
S022,Jaipur Hypermarket #22,North,Jaipur,Hypermarket,10-10-2019,5383
S023,Chandigarh Supermarket #23,North,Chandigarh,Supermarket,24-11-2023,2350
S024,Surat Convenience #24,West,Surat,Convenience,10-07-2019,2075
S025,Delhi Supermarket #25,North,Delhi,Supermarket,27-12-2020,3948
S026,Guwahati Convenience #26,East,Guwahati,Convenience,29-10-2023,4607
S027,Delhi Supermarket #27,North,Delhi,Supermarket,02-11-2021,1788
S028,Chennai Supermarket #28,South,Chennai,Supermarket,08-10-2020,4177
S029,Bhopal Convenience #29,Central,Bhopal,Convenience,21-02-2023,4539
S030,Kochi Convenience #30,South,Kochi,Convenience,19-03-2020,5757
